cluster,merge,canonical_name,variants(검토용),group_ids
1,Y,Unico,Unico (64회) | UNICO (41회),GRP_0014|GRP_0071
2,Y,서울대학교 음악대학 동창회,서울대학교 음악대학 동창회 (66회) | 서울대학교음악대학동창회 (1회),GRP_0005|GRP_1338
3,Y,콘서트디자인,콘서트디자인 (48회) | 콘서트 디자인 (17회),GRP_0004|GRP_0430
4,Y,유니코 예술기획,유니코 예술기획 (31회) | 유니코예술기획 (25회),GRP_0317|GRP_0205
5,Y,예술기획파홀로,예술기획파홀로 (16회) | 예술기획 파홀로 (7회) | 주식회사 예술기획파홀로 (2회) | ㈜예술기획파홀로 (1회),GRP_0267|GRP_0030|GRP_0714|GRP_0841
6,Y,밀라노 베르디 국립음악원 동문회,밀라노 베르디 국립음악원 동문회 (19회) | 밀라노베르디국립음악원 동문회 (1회) | 밀라노베르디 국립음악원 동문회 (1회),GRP_0141|GRP_0150|GRP_1321
7,Y,이든예술기획,이든예술기획 (18회) | 이든예술기획(주) (1회) | 이든예술기획주식회사 (1회),GRP_0043|GRP_0722|GRP_0875
8,Y,한양대학교 음악대학,한양대학교 음악대학 (18회) | 한양대학교음악대학 (1회),GRP_0136|GRP_0406
9,Y,금호아시아나문화재단,금호아시아나문화재단 (14회) | (재)금호아시아나문화재단 (3회),GRP_0264|GRP_0345
10,Y,서울대학교 음악대학 동문회,서울대학교 음악대학 동문회 (11회) | 서울대학교음악대학 동문회 (1회) | 서울대학교음악대학동문회 (1회),GRP_0040|GRP_0821|GRP_1026
11,Y,선화예술중고등학교,선화예술중고등학교 (9회) | 선화예술중·고등학교 (3회),GRP_0342|GRP_0142
12,Y,카리스 프로덕션,카리스 프로덕션 (8회) | 카리스프로덕션 (3회),GRP_0271|GRP_0425
13,Y,금호문화재단,금호문화재단 (7회) | (재)금호문화재단 (3회),GRP_0564|GRP_0847
14,Y,선화예중고,선화예중고 (6회) | 선화예중·고 (3회),GRP_0319|GRP_0065
15,Y,티엘아이 아트센터,티엘아이 아트센터 (7회) | 티엘아이아트센터 (2회),GRP_0182|GRP_0422
16,Y,에어부산㈜,에어부산㈜ (7회) | 에어부산(주) (2회),GRP_0265|GRP_1163
17,Y,맨하탄 음대 동문회,맨하탄 음대 동문회 (7회) | 맨하탄음대 동문회 (1회),GRP_0053|GRP_1193
18,Y,이탈리아 밀라노 베르디 국립음악원 동문회,이탈리아 밀라노 베르디 국립음악원 동문회 (6회) | 이탈리아 밀라노베르디 국립음악원 동문회 (2회),GRP_0308|GRP_1118
19,Y,밀라노 베르디 국립음악원,밀라노 베르디 국립음악원 (6회) | 밀라노베르디 국립음악원 (1회),GRP_0387|GRP_0033
20,Y,엘림아트센터,엘림아트센터 (6회) | 엘림 아트 센터 (1회),GRP_0266|GRP_0379
21,Y,산타체칠리아 국립음악원 동문회,산타체칠리아 국립음악원 동문회 (5회) | 산타 체칠리아 국립음악원 동문회 (1회) | 산타체칠리아 국립음악원동문회 (1회),GRP_0268|GRP_0666|GRP_1295
22,Y,주식회사 아트컴퍼니본,주식회사 아트컴퍼니본 (4회) | 아트컴퍼니본 (2회) | 아트 컴퍼니본 (1회),GRP_0909|GRP_0488|GRP_1123
23,Y,컬쳐파크 209,컬쳐파크 209 (4회) | 컬쳐파크209 (3회),GRP_0588|GRP_0523
24,Y,JS예술기획,JS예술기획 (5회) | JS 예술기획 (2회),GRP_0926|GRP_0938
25,Y,드레스덴 국립음대 동문회,드레스덴 국립음대 동문회 (4회) | 드레스덴국립음대동문회 (2회),GRP_0452|GRP_0426
26,Y,（주）코리아나매니지먼트,（주）코리아나매니지먼트 (4회) | (주)코리아나매니지먼트 (1회) | 코리아나매니지먼트 (1회),GRP_0751|GRP_1208|GRP_1268
27,Y,독일 쾰른 국립음대 동문회,독일 쾰른 국립음대 동문회 (4회) | 독일 쾰른 국립음대동문회 (1회),GRP_0069|GRP_0681
28,Y,프레스토 아트,프레스토 아트 (4회) | 프레스토아트 (1회),GRP_0087|GRP_0812
29,Y,(주)연 예술기획,(주)연 예술기획 (3회) | (주)연예술기획 (2회),GRP_0143|GRP_1079
30,Y,Concert Design,Concert Design (4회) | concert design (1회),GRP_0352|GRP_0419
31,Y,서울신학대학교 교회음악과 동문회,서울신학대학교 교회음악과 동문회 (4회) | 서울신학대학교교회음악과동문회 (1회),GRP_0498|GRP_0936
32,Y,대전문화재단,대전문화재단 (3회) | (재)대전문화재단 (1회),GRP_0196|GRP_0611
33,Y,빈 국립음대 동문회,빈 국립음대 동문회 (3회) | 빈국립음대동문회 (1회),GRP_0263|GRP_0490
34,Y,미국 가톨릭 대학 동문회,미국 가톨릭 대학 동문회 (3회) | 미국 가톨릭대학 동문회 (1회),GRP_0745|GRP_1177
35,Y,YOUNGSAN ARTHALL PRO MUSICIAN SERIES,YOUNGSAN ARTHALL PRO MUSICIAN SERIES (3회) | YOUNGSAN ARTHALL PROMUSICIAN SERIES (1회),GRP_0972|GRP_0995
36,Y,㈜스펙트럼,㈜스펙트럼 (2회) | 주식회사 스펙트럼 (1회),GRP_0295|GRP_0888
37,Y,산타 체칠리아 국립음악원,산타 체칠리아 국립음악원 (2회) | 산타체칠리아 국립음악원 (1회),GRP_0343|GRP_0924
38,Y,독일 만하임 국립음대 동문회,독일 만하임 국립음대 동문회 (2회) | 독일만하임국립음대동문회 (1회),GRP_0415|GRP_0407
39,Y,프랑스 베르사유 국립음악원 동문회,프랑스 베르사유 국립음악원 동문회 (2회) | 프랑스 베르사유 국립 음악원 동문회 (1회),GRP_0418|GRP_0818
40,Y,독일 데트몰트 국립음대 동문회,독일 데트몰트 국립음대 동문회 (2회) | 독일 데트몰트국립음대 동문회 (1회),GRP_0594|GRP_0719
41,Y,파리 에꼴 노르말 음악원 동문회,파리 에꼴 노르말 음악원 동문회 (1회) | 파리 에꼴노르말 음악원 동문회 (1회) | 파리에꼴노르말음악원동문회 (1회),GRP_0642|GRP_1198|GRP_1339
42,Y,이탈리아 로마 산타체칠리아 국립음악원 동문회,이탈리아 로마 산타체칠리아 국립음악원 동문회 (2회) | 이탈리아 로마 산타 체칠리아 국립음악원 동문회 (1회),GRP_0735|GRP_0653
43,Y,(주)라보체아츠컴퍼니,(주)라보체아츠컴퍼니 (1회) | 주식회사 라보체아츠컴퍼니 (1회),GRP_0090|GRP_1230
44,Y,맨하탄 음악대학 동문회,맨하탄 음악대학 동문회 (1회) | 맨하탄음악대학동문회 (1회),GRP_0121|GRP_0940
45,Y,서울대학교총동창회,서울대학교총동창회 (1회) | 서울대학교 총동창회 (1회),GRP_0156|GRP_0837
46,Y,XYM 프리미어 호텔,XYM 프리미어 호텔 (1회) | xym 프리미어 호텔 (1회),GRP_0221|GRP_0483
47,Y,영국 왕립 음악원 동문회,영국 왕립 음악원 동문회 (1회) | 영국 왕립음악원 동문회 (1회),GRP_0233|GRP_0551
48,Y,피바디 음대,피바디 음대 (1회) | 피바디음대 (1회),GRP_0237|GRP_1058
49,Y,베를린국립음대,베를린국립음대 (1회) | 베를린 국립음대 (1회),GRP_0282|GRP_1181
50,Y,독일 에센 국립음대 동문회,독일 에센 국립음대 동문회 (1회) | 독일 에센국립음대 동문회 (1회),GRP_0344|GRP_0822
51,Y,Jallon,Jallon (1회) | JALLON (1회),GRP_0364|GRP_1072
52,Y,예술기획클랑,예술기획클랑 (1회) | 예술기획 클랑 (1회),GRP_0373|GRP_0596
53,Y,서울대음대동창회,서울대음대동창회 (1회) | 서울대 음대 동창회 (1회),GRP_0441|GRP_1229
54,Y,맨하탄음대,맨하탄음대 (1회) | 맨하탄 음대 (1회),GRP_0445|GRP_1019
55,Y,밀라노 G.Verdi 국립음악원,밀라노 G.Verdi 국립음악원 (1회) | 밀라노 G. Verdi 국립음악원 (1회),GRP_0497|GRP_0967
56,Y,이탈리아 F. Torrefranca 국립음악원 동문회,이탈리아 F. Torrefranca 국립음악원 동문회 (1회) | 이탈리아 F.Torrefranca 국립음악원 동문회 (1회),GRP_0543|GRP_0950
57,Y,캔자스대학 동문회,캔자스대학 동문회 (1회) | 캔자스 대학 동문회 (1회),GRP_0555|GRP_1213
58,Y,프랑스 파리 에꼴노르말,프랑스 파리 에꼴노르말 (1회) | 프랑스 파리에꼴노르말 (1회),GRP_0615|GRP_1009
59,Y,도서출판 모리슨,도서출판 모리슨 (1회) | 도서출판모리슨 (1회),GRP_0770|GRP_1128
60,Y,피바디음대 동문회,피바디음대 동문회 (1회) | 피바디 음대 동문회 (1회),GRP_0863|GRP_1207
61,Y,로마 산타체칠리아 국립음악원,로마 산타체칠리아 국립음악원 (1회) | 로마산타체칠리아 국립음악원 (1회),GRP_0991|GRP_1106
62,Y,순복음 영산 신학원,순복음 영산 신학원 (1회) | 순복음영산신학원 (1회),GRP_1007|GRP_1080
63,Y,주식회사 브라보컴,주식회사 브라보컴 (1회) | 브라보컴 (1회),GRP_1131|GRP_1152
64,Y,박범철 가곡 아카데미,박범철 가곡 아카데미 (1회) | 박범철가곡아카데미 (1회),GRP_1255|GRP_1306
