Identifier,PerformingDate,Runningtime,Title,Description(설명 초록),Program Comments(프로그램 설명),VoiceType,Performing Artist,Piano,SingerUndergraduate,country,Composer,CBirthYear,CDeathYear,Opus/Catalogue 번호,SongNo,SongTitle,Translated,SongCycle,FromOpera,FromOratorio,FromCantata,Time,Location,Venue,Fee,StudentFee,Agency,Affiliation,ProgramURL
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,1,Seit ich ihn gesehen,그를 본 후로,Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,2,"Er, der Herrlichste von allen","그, 가장 고귀한 남자",Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,3,"Ich kann's nicht fassen, nicht glauben","나는 이해할 수도, 믿을 수도 없네",Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,4,Du Ring an meinem Finger,내 손에 낀 반지여,Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,5,"Helft mir, ihr Schwestern","날 좀 도와줘, 자매들아",Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,6,"S_ßer Freund, du blickest mich verwundert an","다정한 남자, 놀라며 나를 보네",Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,7,"An meinem Herzen, an meiner Brust","내 마음에, 내 가슴에",Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Schumann, Robert",1810,1856,Op. 42,8,Nun hast du mir den ersten Schmerz getan,당신은 내게 처음으로 고통을 주었어요,Frauenliebe und Leben,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,Tres morillas,,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,"¡Oh, que buen amor, saber yoglar!",,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,La guitarra sin prima,,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,Aquel sombrero de monte,,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,Polo del contrabandista,,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Obradors, Fernando",1897,1945,Vol. III,,El vito,,Canciones Cl_sicas Espa_olas,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
",,,,,,intermission,,,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Wolf, Hugo",1860,1903,,1,Heiß mich nicht reden,,Mignon Lieder,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Wolf, Hugo",1860,1903,,2,Nur wer die Sehnsucht kennt,,Mignon Lieder,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Wolf, Hugo",1860,1903,,3,"So laßt mich scheinen, bis ich werde",,Mignon Lieder,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
1,240629,70(15),금호영아티스트콘서트 소프라노 장지혜 독창회,,,소프라노,장지혜,정수진,한국예술종합학교,"
","Wolf, Hugo",1860,1903,,4,Kennst du das Land,,Mignon Lieder,,,,19:30,서울,금호아트홀 연세,"10,000","10,000",금호문화재단,"



",https://tickets.interpark.com/goods/24002912
