keywords,year,_PerformingDate,_Title,_Program,_Time,_RunningTime,_Location,_Venue,_Country,_ProgramURL,id
"Heymann, Werner Richard, Kálmán, Emmerich, Millocker, Karl, Wolfgang Amadeus Mozart, Schubert, Franz, Tchaikovsky, Pyotr Ilyich, Tosti, Francesco Paolo, Wagner, Richard, 박성미, 윤학준, 조두남",23년 6월,2023. 06. 01,바리톤 안갑성 독창회,"#### Mozart, Wolfgang Amadeus (1756-1791)
Rivolgete a lui lo sguardo (당신의 시선을 나에게 돌려주세요)
_From Opera, Cosi fan tutte_

#### Wagner, Richard (1813-1883)
O du mein holder abendstern (저녁별의 노래)
_From Opera, Tannhäuser_

#### 조두남 (1912-1984)
뱃노래

#### 윤학준 (1973-0)
잔향

#### 박성미
꿈

#### Tchaikovsky, Pyotr Ilyich (1840-1893)
Net, tol’ka tot, kto znal (단지 그리움을 아는 자만이)
Don Juan's serenade (돈쥬앙 세레나데)
Robert’s Aria
_From Opera, Iolanta_

#### Intermission


#### Tosti, Francesco Paolo (1846-1916)
L’Ultima Canzone (최후의 노래)
Non t'amo più (더이상 사랑하지 않으리)

#### Schubert, Franz (1797-1828)
D 328 :  Erlkönig (마왕)

#### Heymann, Werner Richard (1896-1961)
Du bist das sußeste madel der welt (당신은 세상에서 가장 달콤한 아가씨)
_From Opera, Liebeswalzer_

#### Millocker, Karl (1842-1899)
Dunkelrote Rosen bring’ich schone Frau (나는 검붉은 장미를 예쁜 아가씨에게 가져간다네)
_From Opera, Gasparone_

#### Kálmán, Emmerich (1882-1953)
Komm, Zigany (오라! 집시여)
_From Opera, Grafin maritza_",19:30,85분(인터미션: 20분),서울,예술의전당 리사이틀홀,"독일
프랑스",[웹사이트](https://tickets.interpark.com/goods/23006284),155
"Charles Ives, Franz Schubert, Gaetano Donizetti, Giuseppe Verdi, Ralph Vaughan Williams, Wolfgang Amadeus Mozart",23년 6월,2023. 06. 03,바리톤 유진백 귀국 독창회,"#### Schubert, Franz (1797-1828)
D531 :  Der Tod und das Mädchen
D 544 :  Ganymed

#### Donizetti, Gaetano (1797-1848)
Una lacrima
Me voglio fa’na casa

#### Mozart, Wolfgang Amadeus (1756-1791)
K 492 :  Hai già vinta la causa?
_From Opera, Le nozze di Figaro_

#### Intermission


#### Ives, Charles (1874-1954)
Memories

#### Williams, Ralph Vaughan (1872-1958)
Songs of Travel  1. The Vagabond
Songs of Travel  2. Let beauty awake
Songs of Travel  8. Bright is the ring of words

#### Verdi, Giuseppe (1813-1901)
Per me giunto… io morrò (오 카를로… 나는 이제 그대를 위해 죽으리)
_From Opera, Don Carlos_",17:00,90분(인터미션: 15분),대전,대전예술의전당 앙상블홀,"이탈리아
프랑스",[웹사이트](https://tickets.interpark.com/goods/23006356),154
"Antonio Vivaldi, Astor Piazzolla, Gioacchino Rossini, Giuseppe Verdi, 김주원, 이원주, 조두남, 진규영",23년 6월,2023. 06. 06,소프라노 고유영 독창회,"#### Vivaldi, Antonio (1678-1741)
Nulla in Mundo pax sincera, RV 630 : . Nulla in mundo pax sincera

#### Rossini, Gioacchino (1792-1868)
La Regata Veneziana  Anzoleta Avanti la regata (경기 전의 안졸레타)
La Regata Veneziana  Anzoleta Co passa la regata (경기 중의 안졸레타)
La Regata Veneziana  Anzoleta dopo la regata (경기가 끝난 후의 안졸레타)

#### 조두남 (1912-1984)
새타령

#### 진규영 (1952-0)
밀양 아이랑

#### Intermission


#### 이원주 (1980-0)
이화우

#### 김주원 (1984-0)
연꽃 만나고 가는 바람같이

#### Piazzolla, Astor (1921-1992)
Alguien le dice al tango
Oblivion
Yo soy Maria

#### Verdi, Giuseppe (1813-1901)
Surta E La Notte... Ernani! Ernani, involami (Ernani)
_From Opera, Ernani_",19:30,80분(인터미션: 15분),서울,세종문화회관 체임버홀,"이탈리아
프랑스",[웹사이트](https://tickets.interpark.com/goods/P0003488),153
"Alessandro Scarlatti, Carlos Guastavino, Eric Breton, Gabriel Fauré, Marybel Dessagnes, Pyotr Ilyich Tchaikovsky, Robert Schumann, Roger Quilter",23년 6월,2023. 06. 11,테너 박용명 귀국 독창회,"#### Scarlatti, Alessandro (1660-1725)
Gia il sole dal gange
Se Florindo è fedele
_From Opera, La donna ancora è fedele_

#### Schumann, Robert (1810-1856)
Myrthen, Op. 25 : 1. Widmung
Myrthen, Op. 25 : 2. Freisinn
Myrthen, Op. 25 : 5. Lieder aus dem Schenkenbuch im Divan I
Myrthen, Op. 25 : 6. Lieder aus dem Schenkenbuch im Divan II

#### Quilter, Roger (1877-1953)
Three Shakespeare Songs, Op. 6 : 1. Come Away, Death
Three Shakespeare Songs, Op. 6 : 2. O Mistress mine
Three Shakespeare Songs, Op. 6 : 3. Blow, Blow, Thou Winter Wind

#### Intermission


#### Fauré, Gabriel (1845-1924)
3 Mélodies, Op.23 : 1. Les Berceaux (요람)
3 Mélodies, Op.23 : 3. Le Secret

#### Guastavino, Carlos (1912-2000)
La rosa y el sauce (The Rose and the Willow)

#### Breton, Eric
Shaka

#### Dessagnes, Marybel
Techno Scat

#### Tchaikovsky, Pyotr Ilyich (1840-1893)
Kuda, kuda, kuda vy udalilis
_From Opera, Eugene Onegin_",19:30,70분(인터미션: 15분),서울,영산아트홀,"프랑스
프랑스",[웹사이트](https://tickets.interpark.com/goods/23007528),152
"George Frideric Händel, Giacomo Puccini, Henry Purcell, Johann Sebastian Bach, Johann Strauss Jr, Olivier Messiaen, 김동진, 이수인, 임긍수",23년 6월,2023. 06. 16,소프라노 신영미 독창회,"#### Purcell, Henry (1659-1695)
Z 629 :  Hark! The Echoing air a triumph sings (들어보라! 울려퍼지는 저 승리의 노래를)
_From Opera, The Fairy Queen_
Z 583 :  Music for a While (잠시 동안의 음악)
_From Opera, Oedipus_
Z 353 :  Ah! How Pleasant 'tis to Love (아! 사랑이 얼마나 즐거운가)

#### Händel, George Frideric (1685-1759)
Bel piacere (참 기쁨)
_From Opera, Agrippina_
Piangerò la sorte mia (내 운명을 슬퍼하리라)
_From Opera, Giulio Cesare_
Ombra mai fu (그리운 나무 그늘이여)
_From Opera, Serse_

#### Bach, Johann Sebastian (1685-1750)
Schweigt stille, plaudert nicht, BWV 211 : . Ei! wie schmeckt der Coffee süße (아! 이 커피는 얼마나 맛있는지)
_From Cantata KoffeeKantate_

#### Messiaen, Olivier (1908-1992)
Trois Mélodies  1. Pourquoi? (왜?)
Trois Mélodies  2. Le sourire (미소)
Trois Mélodies  3. La fiancée perdue (길 잃은 약혼녀)

#### 임긍수 (1949-0)
강 건너 봄이 오듯

#### 김동진 (1913-2009)
신아리랑

#### 이수인 (1939-2021)
고향의 노래

#### Puccini, Giacomo (1858-1924)
O mio babbino caro
_From Opera, Gianni Schicchi_

#### Strauss Jr, Johann (1925-1899)
Mein Herr Marquis (친애하는 후작님)
_From Opera, Die Fledermaus_",19:30,90분(인터미션: 15분),서울,금호아트홀 연세,"체코
프랑스",[웹사이트](https://tickets.interpark.com/goods/23005997),151
"Charles Gounod, Fernando Obradors, Franz Schubert, 윤학준, 임태규, 정애련",23년 6월,2023. 06. 16,소프라노 조지영 독창회,"#### Schubert, Franz (1797-1828)
D 547 :  An die Musik (음악에 붙임)
D 118 :  Gretchen am Spinnarde (물레 감는 그레첸)

#### Obradors, Fernando (1897-1945)
Canciones Clásicas Españolas, Vol. III : . El vito (엘 비또)
Canciones Clásicas Españolas, Vol. I : . Al amor (사랑으로)
Canciones Clásicas Españolas, Vol. I : . Del Cabello más sutil (부드러운 머릿결)
Canciones Clásicas Españolas, Vol. I : . Chiquita la novia (어린 신부)

#### Gounod, Charles (1818-1893)
Air des Bijoux (보석의 노래)
_From Opera, Faust_

#### 정애련 (0-0)
별을 캐는 밤

#### 윤학준 (1973-0)
별

#### 임태규 (0-0)
돌아가는 꽃

#### 윤학준 (1973-0)
진달래꽃

#### 정애련 (0-0)
님 생각
한 여인의 전설",19:30,90분(인터미션: 15분),서울,푸르지오 아트홀,"독일
프랑스",[웹사이트](https://tickets.interpark.com/goods/23002085),150
"Jacques Ibert, Johannes Brahms, Jules Massenet, Maurice Joseph Ravel, Sergei Rachmaninoff, Wolfgang Amadeus Mozart",23년 6월,2023. 06. 17,금호영아티스트콘서트 베이스 바리톤 한성훈 독창회,"#### Mozart, Wolfgang Amadeus (1756-1791)
K 612 :  Per questa bella mano (이 아름다운 손을 위해)

#### Brahms, Johannes (1833-1897)
4 Serious Songs, Op. 121 : 1. Denn es gehet dem Menschen (사람에게 임하는 바는 짐승에게도 임하나니)
4 Serious Songs, Op. 121 : 2. Ich wandte mich, und sahe an alle (나는 고개를 돌려 모든 것을 보았도다)
4 Serious Songs, Op. 121 : 3. O Tod, o Tod, wie bitter bist du (오 죽음이여, 고통스러운 죽음이여)
4 Serious Songs, Op. 121 : 4. Wenn ich mit Menschen-und mit Engelszungen redete (내가 사람의 말과 천사의 말을 할지라도)

#### Rachmaninoff, Sergei (1873-1943)
Op 4 : 3 В молчаньи ночи тайной (은밀한 밤의 고요 속에)
Op 4 : 4 Не пой красавица при мне (노래하지 마오, 아름다운 여인이여)
Op 14 : 11 Весенние воды (봄의 격류)

#### Intermission


#### Ravel, Maurice Joseph (1875-1937)
Don Quichotte à Dulcinée, M. 84 : . Chanson Romanesque (공상적인 노래)
Don Quichotte à Dulcinée, M. 84 : . Chanson épique (서사적인 노래)
Don Quichotte à Dulcinée, M. 84 : . Chanson à boire (축배의 노래)

#### Ibert, Jacques (1890-1962)
Chansons de Don Quichotte  Chanson du départ (고별의 노래)
Chansons de Don Quichotte  Chanson a Dulcinée (뒬씨네 공주에게 바치는 노래)
Chansons de Don Quichotte  Chanson du Duc (공작의 노래)
Chansons de Don Quichotte  Chanson de la mort de Don Quichotte (돈키호테의 죽음의 노래)

#### Massenet, Jules (1842-1912)
Riez, allez, riez du pauvre idéologue (웃어라, 웃어, 이 불쌍한 이상주의자에게)
_From Opera, Don Quichotte_",20:00,80분(인터미션: 15분),서울,금호아트홀 연세,"이탈리아
프랑스",[웹사이트](https://tickets.interpark.com/goods/23002478),149
"Francesco Paolo Tosti, Robert Schumann",23년 6월,2023. 06. 20,A.H.C.P RISING STAR CONCERT 테너 김지완 독창회,"#### Tosti, Francesco Paolo (1846-1916)
'A vucchella
Non t'amo più (더이상 사랑하지 않으리)
Sogno
Ridonami la calma
Addio

#### Intermission


#### Schumann, Robert (1810-1856)
Dichterliebe, Op.48 : 1. Im wunderschönen Monat Mai (아름다운 5월에)
Dichterliebe, Op.48 : 2. Aus meinen Tränen sprießen (나의 눈물에서)
Dichterliebe, Op.48 : 3. Die Rose, die Lilie, die Taube, die Sonne (장미, 백합, 비둘기)
Dichterliebe, Op.48 : 4. Wenn ich in deine Augen seh (당신의 눈동자를 바라볼 때)
Dichterliebe, Op.48 : 5. Ich will meine Seele tauchen (나의 영혼을 깊히 적시리)
Dichterliebe, Op.48 : 6. Im Rhein, im heiligen Strome (라인 강에, 성스런 강물에)
Dichterliebe, Op.48 : 7. Ich grolle nicht (나는 원망하지 않으리)
Dichterliebe, Op.48 : 8. Und wüßten’s die Blumen, die kleinen (꽃들이 알았더라면)
Dichterliebe, Op.48 : 9. Das ist ein Flöten und Geigen (플루트와 바이올린)
Dichterliebe, Op.48 : 10. Hör ich das Liedchen klingen (그 노래를 들을 때면)
Dichterliebe, Op.48 : 11. Ein Jüngling liebt ein Mädchen (한 청년은 한 소녀를 사랑하고)
Dichterliebe, Op.48 : 12. Am leuchtenden Sommermorgen (눈부신 여름 아침에)
Dichterliebe, Op.48 : 13. Ich hab’ im Traum geweinet (나는 꿈속에서 울었네)
Dichterliebe, Op.48 : 14. Allnächtlich im Traume (밤마다 꿈속에)
Dichterliebe, Op.48 : 15. Aus alten Märchen (옛 동화 속에서)
Dichterliebe, Op.48 : 16. Die alten, bösen Lieder (낡은, 몹쓸 노래들)",19:30,90분(인터미션: 10분),대전,아트브릿지,"이탈리아
프랑스",[웹사이트](https://tickets.interpark.com/goods/23007647),148
"Emmanuel Chabrier, Robert Schumann, Sergei Rachmaninoff, 이건우",23년 6월,2023. 06. 20,바리톤 김보람 독창회,"#### Schumann, Robert (1810-1856)
Romanzen und Balladen, Vol.I, Op. 45 : 1. Der Schatzgräber (보물을 캐는 사람)
Romanzen und Balladen, Vol.I, Op. 45 : 2. Frühlingsfahrt (봄의 여행)
Romanzen und Balladen, Vol.I, Op. 45 : 3. Abends am Strand (해변의 저녁)

#### Chabrier, Emmanuel (1841-1894)
Ballade des gros dindons (뚱뚱한 칠면조들의 발라드)
Les Cigales (매미들)
Villanelle des petits canards (작은 오리들의 목가)
L'île Heureuse (행복한 섬)

#### 이건우 (1919-1998)
가는 길
엄마야 누나야
산

#### Intermission


#### Rachmaninoff, Sergei (1873-1943)
Op 38 : 5 Сон (꿈)
Op 14 : 28 Островок (작은 섬)
Op21 : 5 Сирень (라일락)
Op14 : 11 Весенние воды (봄의 격류)
Op 4 : 4 Не пой красавица при мне (노래하지 마오, 아름다운 여인이여)
Op 4 : 3 В молчаньи ночи тайной (은밀한 밤의 고요 속에)
Op 26 : 12 Ночь печальна (슬픔의 밤)
Op 21 : 6 Отрывок из А Мюссе (뮈세의 단편에서)
Op 26 : 2 Всё отнял у меня (모든 것을 가져갔네)
Op 21 : 4 Oни отвечали (그들은 대답했네)
Op 14 : 1 Я жду тебя (그대를 기다리네)
Op 21 : 11 Я не пророк (난 선지자가 아니오)",19:30,80분(인터미션: 15분),서울,예술의전당 리사이틀홀,"모스크바
프랑스",[웹사이트](https://tickets.interpark.com/goods/23006952),147
"Camille SaintSaëns, George Frideric Händel, Georges Bizet, Gioacchino Rossini",23년 7월,2023. 07. 02,메조소프라노 구지영 독창회,"#### Händel, George Frideric (1685-1759)
Messiah  O thou that tellest good tidings to Zion
Dove sei
_From Oratorio, Rodelinda_
Awake, Saturnia ... Hence, Iris, hence away
_From Opera, Semele_

#### SaintSaëns, Camille (1835-1921)
Act 2: Prélude
_From Opera, Samson et Dalila_
Amour! viens aider ma faiblesse
_From Opera, Samson et Dalila_
Mon coeur s'ouvre à ta voix
_From Opera, Samson et Dalila_

#### Intermission


#### Bizet, Georges (1838-1875)
Carmen' Ouveture
_From Opera, Carmen_
Habanera
_From Opera, Carmen_
Séguedille

#### Rossini, Gioacchino (1792-1868)
O Patria... Di tanti palpiti
_From Opera, Tancredi_
Una voce poco fa
_From Opera, Il Barbiere di Siviglia_
Eccomi alfine in Babilonia ... Ah, quel giorno ognor rammento
_From Opera, Semiramide_",19:30,75분,서울,영산아트홀,"이탈리아
이탈리아",[웹사이트](https://tickets.interpark.com/goods/23007565),146
"Carlisle Floyd, Giovanni Battista Pergolesi, Henri Duparc, Ludwig van Beethoven, Richard Strauss",23년 7월,2023. 07. 06,소프라노 오예은 독창회,"#### Pergolesi, Giovanni Battista (1710-1736)
Stizzoso, mio stizzoso
Ah, Serpina penserete

#### Duparc, Henri (1848-1933)
Chanson triste (슬픔의 노래)
L'invitation au Voyage (여행으로의 초대)

#### Beethoven, Ludwig van (1770-1827)
Op 65 :  Ah Perfido! (아, 믿지 못할 사람이여!)

#### Intermission


#### Strauss, Richard (1864-1949)
Vier letzte Lieder, AV 150 : 1. Frühling (봄)
Vier letzte Lieder, AV 150 : 2. September (9월)
Vier letzte Lieder, AV 150 : 3. Beim Schlafengehen (잠자리에 들 때)
Vier letzte Lieder, AV 150 : 4. Im Abendrot (저녁 노을)

#### Floyd, Carlisle (1926-2021)
저 산의 나무들은 차갑고 헐벗었네  The trees on the mountains are cold and bare
_From Opera, Susannah_",19:30,90분(인터미션: 15분),부산,챔버홀,"이탈리아
이탈리아",[웹사이트](https://tickets.interpark.com/goods/23008626),145
